count,persona,type,title,url,channel,channel_url,firstSeen,lastSeen
4,combined2gamer2012,video,"Gameplay - Opus Magnum, Part 1 - The Basics of Alchemy",/watch?v=X6Rm8FpM0ao,happysalad,/@TheSaladcast,2025-06-03T23:06:23.812Z,2025-06-05T12:06:25.130Z
4,combined2gamer2012,video,"How 3D video games do graphics.",/watch?v=bGe-d09Nc_M,"Jonathan Blow",/@jblow888,2025-06-05T11:06:23.291Z,2025-06-06T04:05:43.776Z
4,combined2gamer2012,video,"How to play Puyo Puyo - Lesson 1: Concept of making chains",/watch?v=uJszHBGaYh0,HernanZh,/@HernanZh,2025-06-02T22:06:25.122Z,2025-06-03T06:06:25.249Z
4,combined2gamer2012,video,"I Fought Against a Team of Pro Tetris Players",/watch?v=_we-oMtqYcA,Schoell,/@SchoellScrub,2025-06-04T14:06:25.177Z,2025-06-05T00:06:23.406Z
4,combined2gamer2012,video,"Lumines Remastered | Shuffle Challenge Mode | Score 2,665,538",/watch?v=QN2QANeeN_A,systeminspired,/@systeminspired,2025-06-03T18:06:23.588Z,2025-06-05T10:06:25.345Z
4,combined2gamer2012,video,"Mystery Loves Company - Board Game Show (Bonus Video)",/watch?v=H9zt2wwet_Q,Funhaus,/@Funhaus,2025-06-03T14:06:25.730Z,2025-06-05T20:05:39.966Z
4,combined2gamer2012,video,"Pixel Art Animation. Reinvented - Astortion Devlog",/watch?v=HsOKwUwL1bE,aarthificial,/@aarthificial,2025-06-04T21:06:24.636Z,2025-06-05T00:06:23.406Z
4,combined2gamer2012,video,"Puyo Puyo Trivia",/watch?v=lgX9YZkjEBk,Tucker,/@mchaosg,2025-06-05T18:05:43.261Z,2025-06-06T09:05:38.900Z
4,combined2gamer2012,video,"Taskmaster Season 19, Episode 5 - 'Maybe we’re the monsters.' | Full Episode",/watch?v=NzZkDSPky9Q,Taskmaster,/@Taskmaster,2025-06-04T22:06:28.605Z,2025-06-05T10:06:25.345Z
4,combined2gamer2012,video,"Tetris Effect Launch Trailer | PS4 (Optional PS VR)",/watch?v=c_rtB-dln30,"Enhance Experience",/@EnhanceExperience,2025-06-04T04:06:25.271Z,2025-06-05T10:06:25.345Z
4,combined2gamer2012,video,"Wingspan - How To Play",/watch?v=lgDgcLI2B0U,"Watch It Played",/@WatchItPlayed,2025-06-03T16:06:28.310Z,2025-06-05T02:06:25.004Z
4,combined2gamer2012,video,"You Should Play - Opus Magnum",/watch?v=H6xXCe13UOI,Idiotech,/@IdiotechGaming,2025-05-29T16:03:09.095Z,2025-06-05T22:05:39.078Z
3,combined2gamer2012,short,"1 Day vs. 10 Years of Finger Drumming",/shorts/qehiGytTOM8,,,2025-05-31T08:15:38.641Z,2025-06-01T00:15:40.458Z
3,combined2gamer2012,short,"3 Bad Science Gifts #shorts",/shorts/8q9vES4sdvY,,,2025-05-27T09:16:46.485Z,2025-05-28T09:16:46.440Z
3,combined2gamer2012,short,"7 Perfect Clears With T-Spins",/shorts/-6UELyteFwA,,,2025-05-31T02:15:38.966Z,2025-05-31T12:15:41.773Z
3,combined2gamer2012,short,"Advanced Gear Types | #GearTypes #MechanicalEngineering #gears #engineeringbasics #learnengineering",/shorts/N-UHgAacA8U,,,2025-06-06T11:05:39.461Z,2025-06-06T14:05:40.434Z
3,combined2gamer2012,short,"Funny fox #animal #cute #foryou #funny #funnyvideo #fox",/shorts/zNKI4VUeJBI,,,2025-06-04T08:06:29.392Z,2025-06-04T23:06:28.219Z
3,combined2gamer2012,short,"Silly Clutch Clear Comeback",/shorts/HmCY4h90iWQ,,,2025-05-27T15:16:47.741Z,2025-05-27T21:16:56.102Z
3,combined2gamer2012,short,"Tatami Art That You've Never Seen Before #art #japaneseculture #interiordesign #tatami",/shorts/WkftZ3dWNW4,,,2025-05-27T12:16:47.052Z,2025-05-30T09:16:23.844Z
3,combined2gamer2012,short,"The cats definitely needed a bath🐱🧼#pov #cats #catbath",/shorts/jpHZHALSNI4,,,2025-05-30T00:16:28.841Z,2025-05-30T06:16:25.369Z
3,combined2gamer2012,short,"This Spoon Trick Makes Your Room Look Bigger!",/shorts/7upKvVdOT5o,,,2025-06-06T12:05:39.892Z,2025-06-06T14:05:40.434Z
3,combined2gamer2012,short,"Why Every Social Media Chef Uses the SAME Cutting Board",/shorts/8x3kFms3EFg,,,2025-05-31T14:15:40.429Z,2025-05-31T20:15:38.465Z
3,combined2gamer2012,short,"still better than the metric system  #comedy #shorts",/shorts/UDj6Vin4h_w,,,2025-06-01T00:15:40.458Z,2025-06-05T04:06:27.038Z
3,combined2gamer2012,video,"Closed captions on DVDs are getting left behind",/watch?v=OSCOQ6vnLwU,"Technology Connections",/@TechnologyConnections,2025-06-03T18:06:23.588Z,2025-06-06T13:05:39.725Z
3,combined2gamer2012,video,"Flat Heroes - #1 - It's Hip to be Square! (4 Player Gameplay)",/watch?v=A3dlIiNVgVU,Stumpt,/@stumpt,2025-05-27T12:16:47.052Z,2025-05-28T06:16:49.701Z
3,combined2gamer2012,video,"Gotta POO Fast! - Super SONIC Gauntlet Challenge",/watch?v=-v7WfCLFzDc,Funhaus,/@Funhaus,2025-05-28T03:16:47.466Z,2025-06-06T03:05:42.300Z
3,combined2gamer2012,video,"Guess What Cartoon Character Julia is Describing, I Dare You",/watch?v=t3bn2GhkD84,"Drawfee Show",/@Drawfee,2025-06-04T22:06:28.605Z,2025-06-05T21:05:40.864Z
3,combined2gamer2012,video,"Heat: Pedal To The Metal - How To Play",/watch?v=Ychy0Tgegjk,"Watch It Played",/@WatchItPlayed,2025-06-03T10:06:25.823Z,2025-06-04T22:06:28.605Z
3,combined2gamer2012,video,"How Nuclear Flies Protect You from Flesh-Eating Parasites",/watch?v=zxq60I5RSW8,"Kurzgesagt – In a Nutshell",/@kurzgesagt,2025-06-04T11:06:25.778Z,2025-06-06T02:05:39.679Z
3,combined2gamer2012,video,"I Thought I Was Cooking in Opus Magnum but I was Actually Engulfed in Flames",/watch?v=e3id55NU2Jc,Olexa,/@OlexaYT,2025-06-04T10:06:22.755Z,2025-06-05T09:06:24.807Z
3,combined2gamer2012,video,"Intense Tetris Battle Royale [Tetr.io]",/watch?v=qBvC0wcVwQU,Wumbotize,/@Wumbotize,2025-06-05T00:06:23.406Z,2025-06-05T03:06:24.576Z
3,combined2gamer2012,video,"Let's Play ???: Part 1",/watch?v=VKWNrwG5kdM,MeleeWizard,/@MeleeWizard,2025-06-04T15:06:24.575Z,2025-06-04T18:06:23.077Z
3,combined2gamer2012,video,"Opus Magnum - Hexstabilized Salt",/watch?v=bYNFvml33fA,"Superluminal Lag",/@superluminallag5154,2025-06-04T04:06:25.271Z,2025-06-06T07:05:39.517Z
